model,epoch,loss,threshold,weights_path
MLP,33,0.24827726185321808,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,34,0.24741992354393005,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,35,0.24718596041202545,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,36,0.24792185425758362,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,37,0.24831831455230713,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,38,0.24675427377223969,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,39,0.24558056890964508,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,40,0.24461878836154938,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,41,0.24757733941078186,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,42,0.24519170820713043,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,43,0.24373029172420502,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,44,0.24563151597976685,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,45,0.2477038949728012,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,46,0.24565108120441437,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,47,0.2448989897966385,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,48,0.24178646504878998,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,49,0.24316926300525665,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,50,0.2406073808670044,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,51,0.23987887799739838,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,52,0.23853197693824768,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,53,0.2379169911146164,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,54,0.23652790486812592,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,55,0.23539948463439941,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,56,0.2354062795639038,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,57,0.23296238481998444,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,58,0.23151522874832153,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,59,0.2324305772781372,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,60,0.23124241828918457,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,61,0.22516527771949768,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,62,0.2246650755405426,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,63,0.22028560936450958,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,64,0.21883825957775116,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,65,0.22165045142173767,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,66,0.21878506243228912,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,67,0.21217851340770721,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,68,0.20809721946716309,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,69,0.20986655354499817,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,70,0.2029077410697937,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,71,0.20147016644477844,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,72,0.19894006848335266,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,73,0.19401398301124573,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,74,0.19420747458934784,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,75,0.1907849758863449,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,76,0.1862040013074875,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,77,0.18792836368083954,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,78,0.1824498474597931,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,79,0.1769336760044098,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
