step,y_a_mean,y_a_std,y_b_mean,y_b_std,sign_gate_mean,sign_gate_std,separation_mean,separation_std,target_component_mean,target_component_std,orthogonal_component_mean,orthogonal_component_std,weight_norm_mean,weight_norm_std
0,0.0008210271835559979,0.006289159845859981,-0.0005372911275844672,0.005756271798552177,0.66,0.47851812069840644,0.007625698971423844,0.004798695391575372,0.0009604760888172814,0.006343612570856793,0.00020063168924459515,0.00569620717113171,0.008095185214137463,0.002607911118626389
1,0.0008213666820665822,0.006290887078117734,-0.0005376306716789259,0.005757880228679887,0.66,0.47851812069840644,0.007629511610066402,0.004801094381345183,0.0009609562444480218,0.006346784125182213,0.00020063165701192847,0.0056962071789732555,0.008097456145983836,0.002608614063904043
2,0.0008217063877964392,0.006292615480587647,-0.0005379704172082711,0.005759489861226628,0.66,0.47851812069840644,0.007633326120703714,0.0048034946408698044,0.0009614366890408895,0.006349957263254765,0.00020063162886944051,0.00569620714185691,0.008099728384588247,0.0026093184739591694
3,0.0008220463123871013,0.006294345088285694,-0.0005383102945779683,0.005761100693359264,0.66,0.47851812069840644,0.0076371425297838864,0.004805896075255442,0.0009619173816169238,0.006353131971735048,0.00020063166225970503,0.005696207109925756,0.008102001947956372,0.0026100243590877485
4,0.0008223863755119964,0.00629607591145991,-0.0005386503372574225,0.005762712808410691,0.66,0.47851812069840644,0.00764096089231316,0.004808298786897567,0.0009623982890431035,0.00635630832820756,0.00020063167671681496,0.005696207091727404,0.008104276883984508,0.002610731757485858
5,0.0008227266499307007,0.006297807860447599,-0.0005389905514311976,0.005764326145961315,0.66,0.47851812069840644,0.00764478111785138,0.004810702724306492,0.0009628794671413657,0.0063594862491042,0.0002006317193164128,0.005696207019726668,0.008106553098540496,0.002611440642443969
6,0.0008230670168995857,0.006299541049841291,-0.0005393309595092433,0.005765940735685164,0.66,0.47851812069840644,0.007648603295747307,0.004813107828227108,0.0009633608477935128,0.006362665777336393,0.00020063169024784656,0.005696207002206062,0.008108830690722473,0.002612151008491159
7,0.000823407550342381,0.0063012754571782625,-0.0005396715597453294,0.005767556538047127,0.66,0.47851812069840644,0.0076524273794348115,0.004815514108934309,0.0009638424820367444,0.006365846880345326,0.00020063164301785768,0.00569620701017835,0.008111109609282038,0.0026128628999472856
8,0.0008237482811091468,0.006303011011855543,-0.0005400123009167146,0.005769173564371247,0.66,0.47851812069840644,0.007656253372988431,0.00481792163224809,0.0009643243554653993,0.0063690295877507665,0.0002006316356606807,0.005696206943376229,0.00811338983862605,0.002613576220086036
9,0.0008240892027970403,0.00630474777683881,-0.0005403532167838421,0.005770791801162286,0.66,0.47851812069840644,0.007660081250214716,0.004820330364181495,0.0009648064874242224,0.006372213867644127,0.00020063163977658376,0.005696206892917393,0.00811567139598951,0.002614291041456408
