model,epoch,bce,condition,architecture
2,39,0.01595221273601055,blocked,Hebbian
2,40,0.01617368496954441,blocked,Hebbian
3,0,0.03408994525671005,blocked,Hebbian
3,1,0.017618658021092415,blocked,Hebbian
3,2,0.017204605042934418,blocked,Hebbian
3,3,0.017728716135025024,blocked,Hebbian
3,4,0.01692970097064972,blocked,Hebbian
3,5,0.016908086836338043,blocked,Hebbian
3,6,0.016836879774928093,blocked,Hebbian
3,7,0.01674179546535015,blocked,Hebbian
3,8,0.017148083075881004,blocked,Hebbian
3,9,0.017190081998705864,blocked,Hebbian
3,10,0.01664014533162117,blocked,Hebbian
3,11,0.01695224456489086,blocked,Hebbian
3,12,0.016578983515501022,blocked,Hebbian
3,13,0.016703197732567787,blocked,Hebbian
3,14,0.016480756923556328,blocked,Hebbian
3,15,0.017009640112519264,blocked,Hebbian
3,16,0.01642022095620632,blocked,Hebbian
3,17,0.016502004116773605,blocked,Hebbian
3,18,0.01653091423213482,blocked,Hebbian
3,19,0.016856536269187927,blocked,Hebbian
3,20,0.016833031550049782,blocked,Hebbian
3,21,0.016456158831715584,blocked,Hebbian
3,22,0.017023490741848946,blocked,Hebbian
3,23,0.017419852316379547,blocked,Hebbian
3,24,0.016960447654128075,blocked,Hebbian
3,25,0.016256891191005707,blocked,Hebbian
3,26,0.016435733065009117,blocked,Hebbian
3,27,0.01629048027098179,blocked,Hebbian
3,28,0.01605246588587761,blocked,Hebbian
3,29,0.016027474775910378,blocked,Hebbian
3,30,0.015827437862753868,blocked,Hebbian
3,31,0.015904689207673073,blocked,Hebbian
3,32,0.015695884823799133,blocked,Hebbian
3,33,0.01599889062345028,blocked,Hebbian
3,34,0.015708891674876213,blocked,Hebbian
3,35,0.01566188782453537,blocked,Hebbian
3,36,0.015560255385935307,blocked,Hebbian
3,37,0.015838542953133583,blocked,Hebbian
3,38,0.015765592455863953,blocked,Hebbian
3,39,0.01585010066628456,blocked,Hebbian
3,40,0.015634875744581223,blocked,Hebbian
4,0,0.0190932285040617,blocked,Hebbian
4,1,0.018185170367360115,blocked,Hebbian
4,2,0.01810578629374504,blocked,Hebbian
4,3,0.017553377896547318,blocked,Hebbian
4,4,0.0174417644739151,blocked,Hebbian
4,5,0.017551179975271225,blocked,Hebbian
4,6,0.017304012551903725,blocked,Hebbian
4,7,0.017213813960552216,blocked,Hebbian
4,8,0.01719166338443756,blocked,Hebbian
4,9,0.017142903059720993,blocked,Hebbian
4,10,0.0169602669775486,blocked,Hebbian
4,11,0.016803447157144547,blocked,Hebbian
4,12,0.016910644248127937,blocked,Hebbian
4,13,0.017008401453495026,blocked,Hebbian
4,14,0.016753986477851868,blocked,Hebbian
4,15,0.01668689399957657,blocked,Hebbian
4,16,0.01677151396870613,blocked,Hebbian
4,17,0.01667223498225212,blocked,Hebbian
4,18,0.017195817083120346,blocked,Hebbian
4,19,0.01673687994480133,blocked,Hebbian
4,20,0.016605239361524582,blocked,Hebbian
4,21,0.016808509826660156,blocked,Hebbian
4,22,0.01657216064631939,blocked,Hebbian
4,23,0.016683431342244148,blocked,Hebbian
4,24,0.01667194999754429,blocked,Hebbian
4,25,0.01646372117102146,blocked,Hebbian
4,26,0.016373898833990097,blocked,Hebbian
4,27,0.016342468559741974,blocked,Hebbian
4,28,0.016475237905979156,blocked,Hebbian
4,29,0.016240786761045456,blocked,Hebbian
4,30,0.016587605699896812,blocked,Hebbian
4,31,0.01653369702398777,blocked,Hebbian
4,32,0.016683299094438553,blocked,Hebbian
4,33,0.01679304428398609,blocked,Hebbian
4,34,0.016910795122385025,blocked,Hebbian
4,35,0.017336566001176834,blocked,Hebbian
4,36,0.01731179468333721,blocked,Hebbian
4,37,0.01628757454454899,blocked,Hebbian
4,38,0.01625148020684719,blocked,Hebbian
4,39,0.016129137948155403,blocked,Hebbian
4,40,0.016181426122784615,blocked,Hebbian
5,0,0.020231159403920174,blocked,Hebbian
5,1,0.018302110955119133,blocked,Hebbian
5,2,0.01866917498409748,blocked,Hebbian
5,3,0.017758546397089958,blocked,Hebbian
5,4,0.017504053190350533,blocked,Hebbian
5,5,0.017376242205500603,blocked,Hebbian
5,6,0.017316417768597603,blocked,Hebbian
5,7,0.017281832173466682,blocked,Hebbian
5,8,0.017246639356017113,blocked,Hebbian
5,9,0.01734515093266964,blocked,Hebbian
5,10,0.017187880352139473,blocked,Hebbian
5,11,0.017246654257178307,blocked,Hebbian
5,12,0.017136937007308006,blocked,Hebbian
5,13,0.017322108149528503,blocked,Hebbian
5,14,0.01733425445854664,blocked,Hebbian
5,15,0.01729060523211956,blocked,Hebbian
5,16,0.017149580642580986,blocked,Hebbian
5,17,0.01707839034497738,blocked,Hebbian
5,18,0.01744009554386139,blocked,Hebbian
5,19,0.016987331211566925,blocked,Hebbian
5,20,0.017025401815772057,blocked,Hebbian
5,21,0.017669780179858208,blocked,Hebbian
5,22,0.017588380724191666,blocked,Hebbian
5,23,0.016981134191155434,blocked,Hebbian
5,24,0.016819996759295464,blocked,Hebbian
5,25,0.01682666689157486,blocked,Hebbian
5,26,0.01685049571096897,blocked,Hebbian
5,27,0.016840485855937004,blocked,Hebbian
5,28,0.01679152436554432,blocked,Hebbian
5,29,0.016849111765623093,blocked,Hebbian
5,30,0.016751322895288467,blocked,Hebbian
5,31,0.01682223193347454,blocked,Hebbian
5,32,0.016611924394965172,blocked,Hebbian
5,33,0.016647767275571823,blocked,Hebbian
5,34,0.016880309209227562,blocked,Hebbian
5,35,0.016887031495571136,blocked,Hebbian
5,36,0.016926050186157227,blocked,Hebbian
5,37,0.016514064744114876,blocked,Hebbian
5,38,0.016529036685824394,blocked,Hebbian
5,39,0.01650249771773815,blocked,Hebbian
5,40,0.01700654812157154,blocked,Hebbian
6,0,0.020943740382790565,blocked,Hebbian
6,1,0.017678124830126762,blocked,Hebbian
6,2,0.019754765555262566,blocked,Hebbian
6,3,0.017997941002249718,blocked,Hebbian
6,4,0.017941642552614212,blocked,Hebbian
6,5,0.01737852767109871,blocked,Hebbian
6,6,0.017173120751976967,blocked,Hebbian
6,7,0.01790578104555607,blocked,Hebbian
6,8,0.01708623580634594,blocked,Hebbian
6,9,0.017132719978690147,blocked,Hebbian
6,10,0.01710239239037037,blocked,Hebbian
6,11,0.017034444957971573,blocked,Hebbian
6,12,0.01710299775004387,blocked,Hebbian
6,13,0.017440347000956535,blocked,Hebbian
6,14,0.016897981986403465,blocked,Hebbian
6,15,0.017088908702135086,blocked,Hebbian
6,16,0.017489120364189148,blocked,Hebbian
6,17,0.017636090517044067,blocked,Hebbian
6,18,0.01701088435947895,blocked,Hebbian
6,19,0.01724533550441265,blocked,Hebbian
6,20,0.0168457068502903,blocked,Hebbian
6,21,0.016997063532471657,blocked,Hebbian
6,22,0.01686435006558895,blocked,Hebbian
6,23,0.01693466491997242,blocked,Hebbian
6,24,0.01672510802745819,blocked,Hebbian
6,25,0.016787279397249222,blocked,Hebbian
6,26,0.01658351719379425,blocked,Hebbian
6,27,0.01658998616039753,blocked,Hebbian
6,28,0.016584694385528564,blocked,Hebbian
6,29,0.016409000381827354,blocked,Hebbian
6,30,0.01676010712981224,blocked,Hebbian
6,31,0.016846274957060814,blocked,Hebbian
6,32,0.017180725932121277,blocked,Hebbian
6,33,0.016607562080025673,blocked,Hebbian
6,34,0.017046377062797546,blocked,Hebbian
6,35,0.01657095178961754,blocked,Hebbian
6,36,0.01682080700993538,blocked,Hebbian
6,37,0.01646045595407486,blocked,Hebbian
6,38,0.01695496216416359,blocked,Hebbian
6,39,0.01649208553135395,blocked,Hebbian
6,40,0.016319600865244865,blocked,Hebbian
7,0,0.020716460421681404,blocked,Hebbian
7,1,0.018029412254691124,blocked,Hebbian
7,2,0.017454156652092934,blocked,Hebbian
7,3,0.01732204109430313,blocked,Hebbian
7,4,0.017571866512298584,blocked,Hebbian
7,5,0.017772572115063667,blocked,Hebbian
7,6,0.01769009418785572,blocked,Hebbian
7,7,0.017389588057994843,blocked,Hebbian
7,8,0.017407914623618126,blocked,Hebbian
7,9,0.01751887798309326,blocked,Hebbian
7,10,0.01760607212781906,blocked,Hebbian
7,11,0.017112305387854576,blocked,Hebbian
7,12,0.017470819875597954,blocked,Hebbian
7,13,0.017429396510124207,blocked,Hebbian
7,14,0.017015080899000168,blocked,Hebbian
7,15,0.016963237896561623,blocked,Hebbian
7,16,0.017028439790010452,blocked,Hebbian
7,17,0.01705648936331272,blocked,Hebbian
7,18,0.01695791259407997,blocked,Hebbian
7,19,0.016869226470589638,blocked,Hebbian
7,20,0.017106708139181137,blocked,Hebbian
7,21,0.01678316853940487,blocked,Hebbian
7,22,0.016720885410904884,blocked,Hebbian
7,23,0.016766780987381935,blocked,Hebbian
7,24,0.01667189970612526,blocked,Hebbian
7,25,0.01668599247932434,blocked,Hebbian
7,26,0.016811102628707886,blocked,Hebbian
7,27,0.01688874326646328,blocked,Hebbian
7,28,0.016660727560520172,blocked,Hebbian
7,29,0.016609428450465202,blocked,Hebbian
7,30,0.016601398587226868,blocked,Hebbian
7,31,0.01660899631679058,blocked,Hebbian
7,32,0.016652243211865425,blocked,Hebbian
7,33,0.016461491584777832,blocked,Hebbian
7,34,0.016352076083421707,blocked,Hebbian
7,35,0.016555478796362877,blocked,Hebbian
7,36,0.01647728867828846,blocked,Hebbian
7,37,0.01635470613837242,blocked,Hebbian
7,38,0.016628528013825417,blocked,Hebbian
7,39,0.016490325331687927,blocked,Hebbian
7,40,0.01617441698908806,blocked,Hebbian
8,0,0.04322348162531853,blocked,Hebbian
8,1,0.017503919079899788,blocked,Hebbian
8,2,0.01734905317425728,blocked,Hebbian
8,3,0.017065292224287987,blocked,Hebbian
8,4,0.017436889931559563,blocked,Hebbian
8,5,0.01742718368768692,blocked,Hebbian
8,6,0.01732565648853779,blocked,Hebbian
8,7,0.01743333414196968,blocked,Hebbian
8,8,0.01694263145327568,blocked,Hebbian
8,9,0.016866186633706093,blocked,Hebbian
8,10,0.01651453785598278,blocked,Hebbian
8,11,0.016734637320041656,blocked,Hebbian
8,12,0.016754599288105965,blocked,Hebbian
8,13,0.016709299758076668,blocked,Hebbian
8,14,0.01637084223330021,blocked,Hebbian
8,15,0.016615483909845352,blocked,Hebbian
8,16,0.016459351405501366,blocked,Hebbian
8,17,0.01773187518119812,blocked,Hebbian
8,18,0.016679728403687477,blocked,Hebbian
8,19,0.016901228576898575,blocked,Hebbian
8,20,0.016445236280560493,blocked,Hebbian
8,21,0.016524184495210648,blocked,Hebbian
8,22,0.01617058366537094,blocked,Hebbian
8,23,0.016202013939619064,blocked,Hebbian
8,24,0.016605384647846222,blocked,Hebbian
8,25,0.016415748745203018,blocked,Hebbian
8,26,0.016976600512862206,blocked,Hebbian
