model,epoch,bce,c1,c2,condition,architecture
0,0,0.018439145758748055,0.007751123514026403,0.006258764304220676,interleaved,Hebbian
0,1,0.018041091039776802,0.03866637125611305,0.03122599422931671,interleaved,Hebbian
0,2,0.019177958369255066,0.04826467111706734,0.03898240998387337,interleaved,Hebbian
0,3,0.0181008018553257,0.06301619112491608,0.05091053619980812,interleaved,Hebbian
0,4,0.018308868631720543,0.07298247516155243,0.058975592255592346,interleaved,Hebbian
0,5,0.018140166997909546,0.08650019764900208,0.06992445141077042,interleaved,Hebbian
0,6,0.017712898552417755,0.0924985408782959,0.07478702068328857,interleaved,Hebbian
0,7,0.018481934443116188,0.09535175561904907,0.0771009624004364,interleaved,Hebbian
0,8,0.017697371542453766,0.10722680389881134,0.08673880994319916,interleaved,Hebbian
0,9,0.01839512027800083,0.108463354408741,0.0877431109547615,interleaved,Hebbian
0,10,0.017925964668393135,0.10968546569347382,0.08873582631349564,interleaved,Hebbian
0,11,0.017954392358660698,0.10968546569347382,0.08873582631349564,interleaved,Hebbian
0,12,0.018105322495102882,0.11787363886833191,0.0953906923532486,interleaved,Hebbian
0,13,0.017973460257053375,0.12656132876873016,0.1024588942527771,interleaved,Hebbian
0,14,0.01812346652150154,0.13168899714946747,0.10663449019193649,interleaved,Hebbian
0,15,0.017888188362121582,0.13853585720062256,0.11221466958522797,interleaved,Hebbian
0,16,0.018153712153434753,0.14684969186782837,0.11899792402982712,interleaved,Hebbian
0,17,0.017884504050016403,0.15039004385471344,0.121889129281044,interleaved,Hebbian
0,18,0.018308591097593307,0.15805111825466156,0.1281510442495346,interleaved,Hebbian
0,19,0.017971767112612724,0.1613328456878662,0.13083584606647491,interleaved,Hebbian
0,20,0.01743144914507866,0.16924266517162323,0.137313112616539,interleaved,Hebbian
0,21,0.01868310756981373,0.1738051027059555,0.14105334877967834,interleaved,Hebbian
0,22,0.017844894900918007,0.17751158773899078,0.14409418404102325,interleaved,Hebbian
0,23,0.01771063171327114,0.18256543576717377,0.14824385941028595,interleaved,Hebbian
0,24,0.017740527167916298,0.18678055703639984,0.1517079770565033,interleaved,Hebbian
0,25,0.018053671345114708,0.18953458964824677,0.15397284924983978,interleaved,Hebbian
0,26,0.01824343018233776,0.19157207012176514,0.15564924478530884,interleaved,Hebbian
0,27,0.017915567383170128,0.1955781728029251,0.1589474081993103,interleaved,Hebbian
0,28,0.01803487166762352,0.19820015132427216,0.16110752522945404,interleaved,Hebbian
0,29,0.017986683174967766,0.20333394408226013,0.16534043848514557,interleaved,Hebbian
0,30,0.01790272444486618,0.20584851503372192,0.16741544008255005,interleaved,Hebbian
0,31,0.0178490299731493,0.20955850183963776,0.17047899961471558,interleaved,Hebbian
0,32,0.01770840398967266,0.213197723031044,0.17348657548427582,interleaved,Hebbian
0,33,0.018164174631237984,0.21617893874645233,0.17595219612121582,interleaved,Hebbian
0,34,0.018131563439965248,0.2196975201368332,0.17886441946029663,interleaved,Hebbian
0,35,0.017324915155768394,0.22085660696029663,0.17982427775859833,interleaved,Hebbian
0,36,0.018420828506350517,0.22315475344657898,0.18172818422317505,interleaved,Hebbian
0,37,0.017669714987277985,0.22599095106124878,0.18407927453517914,interleaved,Hebbian
0,38,0.01825270988047123,0.22655345499515533,0.18454575538635254,interleaved,Hebbian
0,39,0.018183721229434013,0.22878801822662354,0.18639951944351196,interleaved,Hebbian
0,40,0.017997853457927704,0.23044808208942413,0.1877773255109787,interleaved,Hebbian
1,0,0.024231547489762306,-0.0033248758409172297,-0.006126475054770708,interleaved,Hebbian
1,1,0.018171321600675583,-0.01758536510169506,-0.03239697217941284,interleaved,Hebbian
1,2,0.018651211634278297,-0.026520153507590294,-0.04883616790175438,interleaved,Hebbian
1,3,0.01793065294623375,-0.029501812532544136,-0.054316531866788864,interleaved,Hebbian
1,4,0.017779313027858734,-0.03132820874452591,-0.05767183378338814,interleaved,Hebbian
1,5,0.018008718267083168,-0.035477593541145325,-0.06528955698013306,interleaved,Hebbian
1,6,0.018151780590415,-0.03774585947394371,-0.0694504901766777,interleaved,Hebbian
1,7,0.018072418868541718,-0.04124761372804642,-0.0758691281080246,interleaved,Hebbian
1,8,0.018369603902101517,-0.04384710267186165,-0.08062972128391266,interleaved,Hebbian
1,9,0.017748678103089333,-0.04447318613529205,-0.0817757323384285,interleaved,Hebbian
1,10,0.018277252092957497,-0.04569961503148079,-0.0840199887752533,interleaved,Hebbian
1,11,0.01791507378220558,-0.05030781403183937,-0.09244439005851746,interleaved,Hebbian
1,12,0.018227264285087585,-0.05139563977718353,-0.09443110227584839,interleaved,Hebbian
1,13,0.01781449280679226,-0.05246107652783394,-0.09637616574764252,interleaved,Hebbian
1,14,0.01761847734451294,-0.05553596466779709,-0.10198527574539185,interleaved,Hebbian
1,15,0.018230367451906204,-0.05652416869997978,-0.10378649830818176,interleaved,Hebbian
1,16,0.01776261068880558,-0.05939148738980293,-0.10900874435901642,interleaved,Hebbian
1,17,0.0179696436971426,-0.059856217354536057,-0.1098545715212822,interleaved,Hebbian
1,18,0.017745714634656906,-0.06301504373550415,-0.11559927463531494,interleaved,Hebbian
1,19,0.01812276616692543,-0.06388941407203674,-0.1171879991889,interleaved,Hebbian
1,20,0.017788562923669815,-0.06388941407203674,-0.1171879991889,interleaved,Hebbian
1,21,0.017886212095618248,-0.06560391932725906,-0.12030142545700073,interleaved,Hebbian
1,22,0.017784953117370605,-0.06890789419412613,-0.12629413604736328,interleaved,Hebbian
1,23,0.018081355839967728,-0.06971002370119095,-0.12774759531021118,interleaved,Hebbian
1,24,0.0179288312792778,-0.07089664787054062,-0.12989670038223267,interleaved,Hebbian
1,25,0.017954271286725998,-0.07471991330385208,-0.13681215047836304,interleaved,Hebbian
1,26,0.017714399844408035,-0.07583045214414597,-0.13881829380989075,interleaved,Hebbian
1,27,0.018140926957130432,-0.07728716731071472,-0.141447976231575,interleaved,Hebbian
1,28,0.017568854615092278,-0.07907163351774216,-0.14466646313667297,interleaved,Hebbian
1,29,0.01839444600045681,-0.08081813156604767,-0.1478133648633957,interleaved,Hebbian
1,30,0.017718283459544182,-0.0821896344423294,-0.1502823829650879,interleaved,Hebbian
1,31,0.01756725087761879,-0.08387373387813568,-0.15331144630908966,interleaved,Hebbian
1,32,0.01748952828347683,-0.08585286140441895,-0.15686729550361633,interleaved,Hebbian
1,33,0.01818195730447769,-0.08905799686908722,-0.1626168042421341,interleaved,Hebbian
1,34,0.0176496934145689,-0.09062003344297409,-0.1654147058725357,interleaved,Hebbian
1,35,0.01867670565843582,-0.09123773127794266,-0.166520357131958,interleaved,Hebbian
1,36,0.01754988171160221,-0.09276489913463593,-0.16925199329853058,interleaved,Hebbian
1,37,0.01793353445827961,-0.09426860511302948,-0.17193903028964996,interleaved,Hebbian
1,38,0.01812260039150715,-0.09720999747514725,-0.17718733847141266,interleaved,Hebbian
1,39,0.017783774062991142,-0.09893523156642914,-0.1802607625722885,interleaved,Hebbian
1,40,0.017830565571784973,-0.10035160928964615,-0.18278123438358307,interleaved,Hebbian
2,0,0.0606752373278141,0.004712898749858141,-0.002874197904020548,interleaved,Hebbian
2,1,0.02094990387558937,0.023862523958086967,-0.014554097317159176,interleaved,Hebbian
2,2,0.017715413123369217,0.03463497385382652,-0.021128181368112564,interleaved,Hebbian
2,3,0.01962171122431755,0.045028768479824066,-0.027475455775856972,interleaved,Hebbian
2,4,0.017915986478328705,0.048340003937482834,-0.02949865721166134,interleaved,Hebbian
2,5,0.018587691709399223,0.05435045808553696,-0.033172689378261566,interleaved,Hebbian
2,6,0.017951786518096924,0.05888621509075165,-0.03594675287604332,interleaved,Hebbian
2,7,0.018440313637256622,0.060604505240917206,-0.03699801489710808,interleaved,Hebbian
2,8,0.01797385700047016,0.063901387155056,-0.039015643298625946,interleaved,Hebbian
2,9,0.018194114789366722,0.06548713147640228,-0.039986371994018555,interleaved,Hebbian
2,10,0.01803722232580185,0.06854795664548874,-0.04186062514781952,interleaved,Hebbian
2,11,0.0179637111723423,0.07002795487642288,-0.04276714101433754,interleaved,Hebbian
2,12,0.018124602735042572,0.07289746403694153,-0.04452526196837425,interleaved,Hebbian
2,13,0.01793067157268524,0.07700090855360031,-0.04704061895608902,interleaved,Hebbian
2,14,0.01853502355515957,0.07766369730234146,-0.04744704067707062,interleaved,Hebbian
2,15,0.017958924174308777,0.0821535661816597,-0.05020124465227127,interleaved,Hebbian
2,16,0.01827230304479599,0.08700171858072281,-0.053177397698163986,interleaved,Hebbian
2,17,0.018208695575594902,0.09046784043312073,-0.05530660226941109,interleaved,Hebbian
2,18,0.01772884465754032,0.09270685166120529,-0.05668267607688904,interleaved,Hebbian
2,19,0.018182283267378807,0.09755776822566986,-0.05966585502028465,interleaved,Hebbian
2,20,0.01813148893415928,0.10167666524648666,-0.06220095232129097,interleaved,Hebbian
2,21,0.018069803714752197,0.10317915678024292,-0.06312620639801025,interleaved,Hebbian
2,22,0.017977265641093254,0.10563619434833527,-0.0646398589015007,interleaved,Hebbian
