,model,acc,curriculum
227,0,0.0,non-sequential
228,0,1.0,non-sequential
229,0,1.0,non-sequential
230,0,1.0,non-sequential
231,0,1.0,non-sequential
232,0,1.0,non-sequential
233,0,1.0,non-sequential
234,0,1.0,non-sequential
235,0,1.0,non-sequential
236,0,0.0,non-sequential
237,0,1.0,non-sequential
238,0,1.0,non-sequential
239,0,1.0,non-sequential
240,0,1.0,non-sequential
241,0,1.0,non-sequential
242,0,1.0,non-sequential
243,0,0.0,non-sequential
244,0,1.0,non-sequential
245,0,1.0,non-sequential
246,0,1.0,non-sequential
247,0,1.0,non-sequential
248,0,1.0,non-sequential
249,0,1.0,non-sequential
250,0,1.0,non-sequential
251,0,1.0,non-sequential
252,0,1.0,non-sequential
253,0,1.0,non-sequential
254,0,1.0,non-sequential
255,0,1.0,non-sequential
256,0,1.0,non-sequential
257,0,1.0,non-sequential
258,0,1.0,non-sequential
259,0,1.0,non-sequential
260,0,1.0,non-sequential
261,0,1.0,non-sequential
262,0,0.0,non-sequential
263,0,1.0,non-sequential
264,0,0.0,non-sequential
265,0,1.0,non-sequential
266,0,1.0,non-sequential
267,0,1.0,non-sequential
268,0,1.0,non-sequential
269,0,1.0,non-sequential
270,0,1.0,non-sequential
271,0,1.0,non-sequential
272,0,1.0,non-sequential
273,0,0.0,non-sequential
274,0,1.0,non-sequential
275,0,0.0,non-sequential
276,0,1.0,non-sequential
277,0,1.0,non-sequential
278,0,1.0,non-sequential
279,0,1.0,non-sequential
280,0,0.0,non-sequential
281,0,1.0,non-sequential
282,0,0.0,non-sequential
283,0,1.0,non-sequential
284,0,1.0,non-sequential
285,0,0.0,non-sequential
286,0,1.0,non-sequential
287,0,1.0,non-sequential
288,0,0.0,non-sequential
289,0,0.0,non-sequential
290,0,1.0,non-sequential
291,0,1.0,non-sequential
292,0,1.0,non-sequential
293,0,1.0,non-sequential
294,0,1.0,non-sequential
295,0,1.0,non-sequential
296,0,0.0,non-sequential
297,0,0.0,non-sequential
298,0,1.0,non-sequential
299,0,1.0,non-sequential
300,0,1.0,non-sequential
301,0,1.0,non-sequential
302,0,1.0,non-sequential
303,0,1.0,non-sequential
304,0,0.0,non-sequential
305,0,1.0,non-sequential
306,0,0.0,non-sequential
307,0,1.0,non-sequential
308,0,0.0,non-sequential
309,0,1.0,non-sequential
310,0,1.0,non-sequential
311,0,1.0,non-sequential
312,0,1.0,non-sequential
313,0,1.0,non-sequential
314,0,1.0,non-sequential
315,0,1.0,non-sequential
316,0,1.0,non-sequential
317,0,1.0,non-sequential
318,0,0.0,non-sequential
319,0,1.0,non-sequential
320,0,1.0,non-sequential
321,0,1.0,non-sequential
322,0,1.0,non-sequential
323,0,1.0,non-sequential
324,0,1.0,non-sequential
325,0,0.0,non-sequential
326,0,1.0,non-sequential
327,0,1.0,non-sequential
328,0,1.0,non-sequential
329,0,1.0,non-sequential
330,0,1.0,non-sequential
331,0,1.0,non-sequential
332,0,1.0,non-sequential
333,0,1.0,non-sequential
334,0,0.0,non-sequential
335,0,1.0,non-sequential
336,0,1.0,non-sequential
337,0,1.0,non-sequential
338,0,1.0,non-sequential
339,0,1.0,non-sequential
340,0,1.0,non-sequential
341,0,1.0,non-sequential
342,0,0.0,non-sequential
343,0,1.0,non-sequential
344,0,0.0,non-sequential
345,0,1.0,non-sequential
346,0,1.0,non-sequential
347,0,1.0,non-sequential
348,0,1.0,non-sequential
349,0,1.0,non-sequential
350,0,1.0,non-sequential
351,0,1.0,non-sequential
352,0,1.0,non-sequential
353,0,1.0,non-sequential
354,0,0.0,non-sequential
355,0,1.0,non-sequential
356,0,0.0,non-sequential
357,0,1.0,non-sequential
358,0,1.0,non-sequential
359,0,1.0,non-sequential
360,0,1.0,non-sequential
361,0,1.0,non-sequential
362,0,0.0,non-sequential
363,0,1.0,non-sequential
364,0,1.0,non-sequential
365,0,0.0,non-sequential
366,0,1.0,non-sequential
367,0,1.0,non-sequential
368,0,1.0,non-sequential
369,0,1.0,non-sequential
370,0,1.0,non-sequential
371,0,0.0,non-sequential
372,0,1.0,non-sequential
373,0,1.0,non-sequential
374,0,1.0,non-sequential
375,0,0.0,non-sequential
376,0,1.0,non-sequential
377,0,1.0,non-sequential
378,0,1.0,non-sequential
379,0,1.0,non-sequential
380,0,1.0,non-sequential
381,0,1.0,non-sequential
382,0,1.0,non-sequential
383,0,1.0,non-sequential
384,0,1.0,non-sequential
385,0,1.0,non-sequential
386,0,0.0,non-sequential
387,0,1.0,non-sequential
388,0,1.0,non-sequential
389,0,1.0,non-sequential
390,0,1.0,non-sequential
391,0,1.0,non-sequential
392,0,1.0,non-sequential
393,0,1.0,non-sequential
394,0,1.0,non-sequential
395,0,1.0,non-sequential
396,0,1.0,non-sequential
397,0,1.0,non-sequential
398,0,1.0,non-sequential
399,0,1.0,non-sequential
400,0,1.0,non-sequential
401,0,1.0,non-sequential
402,0,1.0,non-sequential
403,0,0.0,non-sequential
404,0,1.0,non-sequential
405,0,1.0,non-sequential
406,0,1.0,non-sequential
407,0,1.0,non-sequential
408,0,1.0,non-sequential
409,0,1.0,non-sequential
410,0,1.0,non-sequential
411,0,1.0,non-sequential
412,0,1.0,non-sequential
413,0,0.0,non-sequential
414,0,1.0,non-sequential
415,0,0.0,non-sequential
416,0,0.0,non-sequential
417,0,1.0,non-sequential
418,0,1.0,non-sequential
419,0,1.0,non-sequential
420,0,1.0,non-sequential
421,0,1.0,non-sequential
422,0,1.0,non-sequential
423,0,1.0,non-sequential
424,0,1.0,non-sequential
425,0,0.0,non-sequential
426,0,1.0,non-sequential
427,0,1.0,non-sequential
428,0,1.0,non-sequential
429,0,1.0,non-sequential
430,0,1.0,non-sequential
431,0,1.0,non-sequential
432,0,0.0,non-sequential
433,0,1.0,non-sequential
434,0,1.0,non-sequential
435,0,1.0,non-sequential
436,0,1.0,non-sequential
437,0,1.0,non-sequential
438,0,1.0,non-sequential
439,0,1.0,non-sequential
440,0,1.0,non-sequential
441,0,1.0,non-sequential
442,0,0.0,non-sequential
443,0,1.0,non-sequential
444,0,0.0,non-sequential
445,0,0.0,non-sequential
446,0,1.0,non-sequential
447,0,1.0,non-sequential
448,0,1.0,non-sequential
449,0,1.0,non-sequential
450,0,1.0,non-sequential
451,0,1.0,non-sequential
452,0,0.0,non-sequential
453,0,1.0,non-sequential
454,0,0.0,non-sequential
455,0,0.0,non-sequential
456,0,1.0,non-sequential
457,0,1.0,non-sequential
458,0,1.0,non-sequential
459,0,1.0,non-sequential
460,0,1.0,non-sequential
461,0,1.0,non-sequential
462,0,1.0,non-sequential
463,0,1.0,non-sequential
464,0,1.0,non-sequential
465,0,1.0,non-sequential
466,0,1.0,non-sequential
467,0,1.0,non-sequential
468,0,1.0,non-sequential
469,0,1.0,non-sequential
470,0,1.0,non-sequential
471,0,1.0,non-sequential
472,0,1.0,non-sequential
473,0,0.0,non-sequential
474,0,1.0,non-sequential
475,0,1.0,non-sequential
476,0,1.0,non-sequential
477,0,0.0,non-sequential
478,0,0.0,non-sequential
479,0,1.0,non-sequential
480,0,1.0,non-sequential
481,0,1.0,non-sequential
482,0,1.0,non-sequential
483,0,1.0,non-sequential
484,0,0.0,non-sequential
485,0,0.0,non-sequential
486,0,1.0,non-sequential
487,0,0.0,non-sequential
488,0,0.0,non-sequential
489,0,1.0,non-sequential
490,0,1.0,non-sequential
491,0,1.0,non-sequential
492,0,1.0,non-sequential
493,0,1.0,non-sequential
494,0,0.0,non-sequential
495,0,0.0,non-sequential
496,0,0.0,non-sequential
497,0,1.0,non-sequential
498,0,0.0,non-sequential
499,0,1.0,non-sequential
500,0,1.0,non-sequential
501,0,1.0,non-sequential
502,0,1.0,non-sequential
503,0,0.0,non-sequential
504,0,0.0,non-sequential
505,0,0.0,non-sequential
506,0,1.0,non-sequential
507,0,0.0,non-sequential
508,0,1.0,non-sequential
509,0,1.0,non-sequential
510,0,1.0,non-sequential
511,0,1.0,non-sequential
512,0,1.0,non-sequential
513,0,1.0,non-sequential
514,0,0.0,non-sequential
515,0,0.0,non-sequential
516,0,0.0,non-sequential
517,0,0.0,non-sequential
518,0,1.0,non-sequential
519,0,1.0,non-sequential
520,0,1.0,non-sequential
521,0,1.0,non-sequential
522,0,1.0,non-sequential
523,0,1.0,non-sequential
524,0,0.0,non-sequential
525,0,1.0,non-sequential
526,0,1.0,non-sequential
527,0,1.0,non-sequential
528,0,1.0,non-sequential
529,0,1.0,non-sequential
530,0,1.0,non-sequential
531,0,1.0,non-sequential
532,0,0.0,non-sequential
533,0,1.0,non-sequential
534,0,1.0,non-sequential
535,0,1.0,non-sequential
536,0,0.0,non-sequential
537,0,1.0,non-sequential
538,0,1.0,non-sequential
539,0,1.0,non-sequential
540,0,1.0,non-sequential
541,0,0.0,non-sequential
542,0,0.0,non-sequential
543,0,1.0,non-sequential
544,0,1.0,non-sequential
545,0,0.0,non-sequential
546,0,1.0,non-sequential
547,0,1.0,non-sequential
548,0,1.0,non-sequential
549,0,1.0,non-sequential
550,0,1.0,non-sequential
551,0,0.0,non-sequential
552,0,1.0,non-sequential
553,0,0.0,non-sequential
554,0,1.0,non-sequential
555,0,0.0,non-sequential
556,0,1.0,non-sequential
557,0,1.0,non-sequential
558,0,1.0,non-sequential
559,0,1.0,non-sequential
560,0,0.0,non-sequential
561,0,0.0,non-sequential
562,0,0.0,non-sequential
563,0,0.0,non-sequential
564,0,1.0,non-sequential
565,0,1.0,non-sequential
566,0,1.0,non-sequential
567,0,1.0,non-sequential
568,0,1.0,non-sequential
569,0,1.0,non-sequential
570,0,1.0,non-sequential
571,0,1.0,non-sequential
572,0,1.0,non-sequential
573,0,1.0,non-sequential
574,0,1.0,non-sequential
575,0,1.0,non-sequential
576,0,1.0,non-sequential
577,0,0.0,non-sequential
578,0,1.0,non-sequential
579,0,1.0,non-sequential
580,0,1.0,non-sequential
581,0,1.0,non-sequential
582,0,1.0,non-sequential
583,0,1.0,non-sequential
584,0,1.0,non-sequential
585,0,0.0,non-sequential
586,0,1.0,non-sequential
587,0,0.0,non-sequential
588,0,1.0,non-sequential
589,0,1.0,non-sequential
590,0,1.0,non-sequential
591,0,1.0,non-sequential
592,0,1.0,non-sequential
593,0,1.0,non-sequential
594,0,1.0,non-sequential
595,0,1.0,non-sequential
596,0,1.0,non-sequential
597,0,1.0,non-sequential
598,0,1.0,non-sequential
599,0,1.0,non-sequential
600,0,1.0,non-sequential
601,0,1.0,non-sequential
602,0,1.0,non-sequential
603,0,1.0,non-sequential
604,0,1.0,non-sequential
605,0,1.0,non-sequential
606,0,0.0,non-sequential
607,0,0.0,non-sequential
608,0,1.0,non-sequential
609,0,1.0,non-sequential
610,0,1.0,non-sequential
611,0,1.0,non-sequential
612,0,1.0,non-sequential
613,0,1.0,non-sequential
614,0,1.0,non-sequential
615,0,1.0,non-sequential
616,0,0.0,non-sequential
617,0,1.0,non-sequential
618,0,1.0,non-sequential
619,0,1.0,non-sequential
620,0,1.0,non-sequential
621,0,1.0,non-sequential
622,0,1.0,non-sequential
623,0,0.0,non-sequential
624,0,1.0,non-sequential
625,0,1.0,non-sequential
626,0,1.0,non-sequential
627,0,1.0,non-sequential
628,0,1.0,non-sequential
629,0,1.0,non-sequential
630,0,1.0,non-sequential
631,0,1.0,non-sequential
632,0,1.0,non-sequential
633,0,1.0,non-sequential
634,0,1.0,non-sequential
635,0,1.0,non-sequential
636,0,1.0,non-sequential
637,0,1.0,non-sequential
638,0,1.0,non-sequential
639,0,1.0,non-sequential
640,0,1.0,non-sequential
641,0,1.0,non-sequential
642,0,0.0,non-sequential
643,0,1.0,non-sequential
644,0,0.0,non-sequential
645,0,1.0,non-sequential
646,0,1.0,non-sequential
647,0,1.0,non-sequential
648,0,1.0,non-sequential
649,0,1.0,non-sequential
650,0,1.0,non-sequential
651,0,1.0,non-sequential
652,0,1.0,non-sequential
653,0,0.0,non-sequential
654,0,1.0,non-sequential
655,0,0.0,non-sequential
656,0,1.0,non-sequential
657,0,1.0,non-sequential
658,0,1.0,non-sequential
659,0,1.0,non-sequential
660,0,0.0,non-sequential
661,0,1.0,non-sequential
662,0,0.0,non-sequential
663,0,1.0,non-sequential
664,0,1.0,non-sequential
665,0,0.0,non-sequential
666,0,1.0,non-sequential
667,0,1.0,non-sequential
668,0,0.0,non-sequential
669,0,0.0,non-sequential
670,0,1.0,non-sequential
671,0,1.0,non-sequential
672,0,1.0,non-sequential
673,0,1.0,non-sequential
674,0,1.0,non-sequential
675,0,1.0,non-sequential
676,0,0.0,non-sequential
677,0,0.0,non-sequential
678,0,1.0,non-sequential
679,0,1.0,non-sequential
680,0,1.0,non-sequential
681,0,1.0,non-sequential
682,0,1.0,non-sequential
