model,epoch,bce,condition,architecture
2,34,0.009056790731847286,interleaved,Hebbian
2,35,0.009643509052693844,interleaved,Hebbian
2,36,0.00817057490348816,interleaved,Hebbian
2,37,0.00842114258557558,interleaved,Hebbian
2,38,0.008256722241640091,interleaved,Hebbian
2,39,0.007954824715852737,interleaved,Hebbian
2,40,0.008198389783501625,interleaved,Hebbian
3,0,0.0340656079351902,interleaved,Hebbian
3,1,0.017467161640524864,interleaved,Hebbian
3,2,0.0172240249812603,interleaved,Hebbian
3,3,0.017170948907732964,interleaved,Hebbian
3,4,0.016697129234671593,interleaved,Hebbian
3,5,0.016382010653614998,interleaved,Hebbian
3,6,0.016056647524237633,interleaved,Hebbian
3,7,0.015675252303481102,interleaved,Hebbian
3,8,0.015213105827569962,interleaved,Hebbian
3,9,0.01481770072132349,interleaved,Hebbian
3,10,0.014843746088445187,interleaved,Hebbian
3,11,0.015305878594517708,interleaved,Hebbian
3,12,0.013067815452814102,interleaved,Hebbian
3,13,0.012439175508916378,interleaved,Hebbian
3,14,0.011903595179319382,interleaved,Hebbian
3,15,0.01132154930382967,interleaved,Hebbian
3,16,0.010679897852241993,interleaved,Hebbian
3,17,0.010579520836472511,interleaved,Hebbian
3,18,0.010072598233819008,interleaved,Hebbian
3,19,0.009803523309528828,interleaved,Hebbian
3,20,0.010157636366784573,interleaved,Hebbian
3,21,0.011768714524805546,interleaved,Hebbian
3,22,0.009927039034664631,interleaved,Hebbian
3,23,0.009959999471902847,interleaved,Hebbian
3,24,0.01069012749940157,interleaved,Hebbian
3,25,0.00926251895725727,interleaved,Hebbian
3,26,0.008906940929591656,interleaved,Hebbian
3,27,0.008444598875939846,interleaved,Hebbian
3,28,0.008494474925100803,interleaved,Hebbian
3,29,0.008582325652241707,interleaved,Hebbian
3,30,0.008684643544256687,interleaved,Hebbian
3,31,0.008293263614177704,interleaved,Hebbian
3,32,0.008477386087179184,interleaved,Hebbian
3,33,0.008156886324286461,interleaved,Hebbian
3,34,0.009465653449296951,interleaved,Hebbian
3,35,0.008072655647993088,interleaved,Hebbian
3,36,0.0079989368095994,interleaved,Hebbian
3,37,0.008542885072529316,interleaved,Hebbian
3,38,0.007974821142852306,interleaved,Hebbian
3,39,0.008283804170787334,interleaved,Hebbian
3,40,0.00877227634191513,interleaved,Hebbian
4,0,0.01909530721604824,interleaved,Hebbian
4,1,0.01745685003697872,interleaved,Hebbian
4,2,0.017364798113703728,interleaved,Hebbian
4,3,0.017049485817551613,interleaved,Hebbian
4,4,0.017175890505313873,interleaved,Hebbian
4,5,0.016572745516896248,interleaved,Hebbian
4,6,0.016299346461892128,interleaved,Hebbian
4,7,0.015486378222703934,interleaved,Hebbian
4,8,0.015623655170202255,interleaved,Hebbian
4,9,0.014926483854651451,interleaved,Hebbian
4,10,0.014895560219883919,interleaved,Hebbian
4,11,0.012537352740764618,interleaved,Hebbian
4,12,0.012172577902674675,interleaved,Hebbian
4,13,0.011500372551381588,interleaved,Hebbian
4,14,0.011243666522204876,interleaved,Hebbian
4,15,0.01035359688103199,interleaved,Hebbian
4,16,0.00971063319593668,interleaved,Hebbian
4,17,0.010770335793495178,interleaved,Hebbian
4,18,0.009145439602434635,interleaved,Hebbian
4,19,0.0093467952683568,interleaved,Hebbian
4,20,0.008900599554181099,interleaved,Hebbian
4,21,0.0092464005574584,interleaved,Hebbian
4,22,0.009075348265469074,interleaved,Hebbian
4,23,0.008843956515192986,interleaved,Hebbian
4,24,0.008691503666341305,interleaved,Hebbian
4,25,0.008700750768184662,interleaved,Hebbian
4,26,0.008429302833974361,interleaved,Hebbian
4,27,0.008280282840132713,interleaved,Hebbian
4,28,0.008445984683930874,interleaved,Hebbian
4,29,0.008389267139136791,interleaved,Hebbian
4,30,0.008286549709737301,interleaved,Hebbian
4,31,0.009028258733451366,interleaved,Hebbian
4,32,0.00892845168709755,interleaved,Hebbian
4,33,0.008239243179559708,interleaved,Hebbian
4,34,0.008215053007006645,interleaved,Hebbian
4,35,0.008694575168192387,interleaved,Hebbian
4,36,0.008365929126739502,interleaved,Hebbian
4,37,0.00824564229696989,interleaved,Hebbian
4,38,0.00826652254909277,interleaved,Hebbian
4,39,0.008306064642965794,interleaved,Hebbian
4,40,0.008146991021931171,interleaved,Hebbian
5,0,0.020226692780852318,interleaved,Hebbian
5,1,0.01784823276102543,interleaved,Hebbian
5,2,0.017503874376416206,interleaved,Hebbian
5,3,0.01760491356253624,interleaved,Hebbian
5,4,0.01741793006658554,interleaved,Hebbian
5,5,0.016713563352823257,interleaved,Hebbian
5,6,0.016537398099899292,interleaved,Hebbian
5,7,0.016450241208076477,interleaved,Hebbian
5,8,0.01601172424852848,interleaved,Hebbian
5,9,0.015768010169267654,interleaved,Hebbian
5,10,0.014986972324550152,interleaved,Hebbian
5,11,0.0146340262144804,interleaved,Hebbian
5,12,0.013923630118370056,interleaved,Hebbian
5,13,0.013333904556930065,interleaved,Hebbian
5,14,0.012246173806488514,interleaved,Hebbian
5,15,0.010850176215171814,interleaved,Hebbian
5,16,0.010593037120997906,interleaved,Hebbian
