model,trial,training_condition,pathway,mae,error
0,33,blocked,supplied context,0.19234126806259155,0.0
0,33,blocked,zero context,0.24242351949214935,0.0
0,33,blocked,error-gated replacement,0.19234126806259155,0.0
0,34,blocked,supplied context,0.1742154359817505,0.0
0,34,blocked,zero context,0.28004229068756104,0.0
0,34,blocked,error-gated replacement,0.1742154359817505,0.0
0,35,blocked,supplied context,0.2547701597213745,0.0
0,35,blocked,zero context,0.2810603380203247,0.0
0,35,blocked,error-gated replacement,0.2547701597213745,0.0
0,36,blocked,supplied context,0.24374938011169434,0.0
0,36,blocked,zero context,0.25619930028915405,0.0
0,36,blocked,error-gated replacement,0.24374938011169434,0.0
0,37,blocked,supplied context,0.267468124628067,0.0
0,37,blocked,zero context,0.3725298047065735,0.0
0,37,blocked,error-gated replacement,0.267468124628067,0.0
0,38,blocked,supplied context,5.025076355025249e-09,0.0
0,38,blocked,zero context,4.3781449576840714e-09,0.0
0,38,blocked,error-gated replacement,5.025076355025249e-09,0.0
0,39,blocked,supplied context,1.0671496575298534e-08,0.0
0,39,blocked,zero context,8.44196090810101e-09,0.0
0,39,blocked,error-gated replacement,1.0671496575298534e-08,0.0
0,40,blocked,supplied context,6.500158633571118e-08,0.0
0,40,blocked,zero context,6.555762155358025e-08,0.0
0,40,blocked,error-gated replacement,6.500158633571118e-08,0.0
0,41,blocked,supplied context,9.632163511241743e-09,0.0
0,41,blocked,zero context,1.0271195449718107e-08,0.0
0,41,blocked,error-gated replacement,9.632163511241743e-09,0.0
0,42,blocked,supplied context,0.07711980491876602,0.0
0,42,blocked,zero context,0.08437743782997131,0.0
0,42,blocked,error-gated replacement,0.07711980491876602,0.0
0,43,blocked,supplied context,0.10999353229999542,0.0
0,43,blocked,zero context,0.11085490137338638,0.0
0,43,blocked,error-gated replacement,0.10999353229999542,0.0
0,44,blocked,supplied context,0.13155758380889893,0.0
0,44,blocked,zero context,0.13335885107517242,0.0
0,44,blocked,error-gated replacement,0.13155758380889893,0.0
0,45,blocked,supplied context,0.232568621635437,0.0
0,45,blocked,zero context,0.2610253095626831,0.0
0,45,blocked,error-gated replacement,0.232568621635437,0.0
0,46,blocked,supplied context,0.27244240045547485,0.0
0,46,blocked,zero context,0.2744399309158325,0.0
0,46,blocked,error-gated replacement,0.27244240045547485,0.0
0,47,blocked,supplied context,1.5697860789032347e-08,0.0
0,47,blocked,zero context,1.5179873358306395e-08,0.0
0,47,blocked,error-gated replacement,1.5697860789032347e-08,0.0
0,48,blocked,supplied context,8.664107653544306e-09,0.0
0,48,blocked,zero context,9.110856069582951e-09,0.0
0,48,blocked,error-gated replacement,8.664107653544306e-09,0.0
0,49,blocked,supplied context,1.5816153720038528e-08,0.0
0,49,blocked,zero context,7.229344589632092e-08,0.0
0,49,blocked,error-gated replacement,1.5816153720038528e-08,0.0
0,50,blocked,supplied context,3.6424441418603237e-07,0.0
0,50,blocked,zero context,4.2421331158948306e-07,0.0
0,50,blocked,error-gated replacement,3.6424441418603237e-07,0.0
0,51,blocked,supplied context,5.058947039060513e-09,0.0
0,51,blocked,zero context,5.432832850260638e-09,0.0
0,51,blocked,error-gated replacement,5.058947039060513e-09,0.0
0,52,blocked,supplied context,0.19603285193443298,0.0
0,52,blocked,zero context,0.22988373041152954,0.0
0,52,blocked,error-gated replacement,0.19603285193443298,0.0
0,53,blocked,supplied context,0.2083655446767807,0.0
0,53,blocked,zero context,0.29842352867126465,0.0
0,53,blocked,error-gated replacement,0.2083655446767807,0.0
0,54,blocked,supplied context,0.2666492462158203,0.0
0,54,blocked,zero context,0.33641958236694336,0.0
0,54,blocked,error-gated replacement,0.2666492462158203,0.0
0,55,blocked,supplied context,0.3577486574649811,0.0
0,55,blocked,zero context,0.36535876989364624,0.0
0,55,blocked,error-gated replacement,0.3577486574649811,0.0
0,56,blocked,supplied context,0.25290656089782715,0.0
0,56,blocked,zero context,0.3384796380996704,0.0
0,56,blocked,error-gated replacement,0.25290656089782715,0.0
0,57,blocked,supplied context,7.76079644992933e-08,0.0
0,57,blocked,zero context,7.520026201746077e-08,0.0
0,57,blocked,error-gated replacement,7.76079644992933e-08,0.0
0,58,blocked,supplied context,6.907483918183743e-09,0.0
0,58,blocked,zero context,6.60784582606766e-09,0.0
0,58,blocked,error-gated replacement,6.907483918183743e-09,0.0
0,59,blocked,supplied context,6.495903903669387e-08,0.0
0,59,blocked,zero context,6.539670494021266e-08,0.0
0,59,blocked,error-gated replacement,6.495903903669387e-08,0.0
0,60,blocked,supplied context,8.01927413363046e-09,0.0
0,60,blocked,zero context,7.380461575223762e-09,0.0
0,60,blocked,error-gated replacement,8.01927413363046e-09,0.0
0,61,blocked,supplied context,0.061662569642066956,0.0
0,61,blocked,zero context,0.07149888575077057,0.0
0,61,blocked,error-gated replacement,0.061662569642066956,0.0
0,62,blocked,supplied context,0.08453698456287384,0.0
0,62,blocked,zero context,0.09682352095842361,0.0
0,62,blocked,error-gated replacement,0.08453698456287384,0.0
0,63,blocked,supplied context,0.12790599465370178,0.0
0,63,blocked,zero context,0.13461542129516602,0.0
0,63,blocked,error-gated replacement,0.12790599465370178,0.0
0,64,blocked,supplied context,0.25682857632637024,0.0
0,64,blocked,zero context,0.30548810958862305,0.0
0,64,blocked,error-gated replacement,0.25682857632637024,0.0
0,65,blocked,supplied context,0.21713946759700775,0.0
0,65,blocked,zero context,0.24384991824626923,0.0
0,65,blocked,error-gated replacement,0.21713946759700775,0.0
0,66,blocked,supplied context,8.370396926693502e-07,0.0
0,66,blocked,zero context,8.031334459701611e-07,0.0
0,66,blocked,error-gated replacement,8.370396926693502e-07,0.0
0,67,blocked,supplied context,7.411583737848559e-07,0.0
0,67,blocked,zero context,7.943332320792251e-07,0.0
0,67,blocked,error-gated replacement,7.411583737848559e-07,0.0
0,68,blocked,supplied context,4.7029107008711435e-07,0.0
0,68,blocked,zero context,6.315008249657694e-07,0.0
0,68,blocked,error-gated replacement,4.7029107008711435e-07,0.0
0,69,blocked,supplied context,6.515605122103807e-08,0.0
0,69,blocked,zero context,6.61352430597617e-08,0.0
0,69,blocked,error-gated replacement,6.515605122103807e-08,0.0
0,70,blocked,supplied context,8.975817422651744e-09,0.0
0,70,blocked,zero context,6.6877392512765255e-09,0.0
0,70,blocked,error-gated replacement,8.975817422651744e-09,0.0
0,71,blocked,supplied context,0.13449886441230774,0.0
0,71,blocked,zero context,0.21709033846855164,0.0
0,71,blocked,error-gated replacement,0.13449886441230774,0.0
0,72,blocked,supplied context,0.24489645659923553,0.0
0,72,blocked,zero context,0.3603498935699463,0.0
0,72,blocked,error-gated replacement,0.24489645659923553,0.0
0,73,blocked,supplied context,0.2331920564174652,0.0
0,73,blocked,zero context,0.3284963369369507,0.0
0,73,blocked,error-gated replacement,0.2331920564174652,0.0
0,74,blocked,supplied context,0.31710439920425415,0.0
0,74,blocked,zero context,0.37589961290359497,0.0
0,74,blocked,error-gated replacement,0.31710439920425415,0.0
0,75,blocked,supplied context,0.27115246653556824,0.0
0,75,blocked,zero context,0.34842756390571594,0.0
0,75,blocked,error-gated replacement,0.27115246653556824,0.0
0,76,blocked,supplied context,2.44750886224665e-09,0.0
0,76,blocked,zero context,2.288035538811073e-09,0.0
0,76,blocked,error-gated replacement,2.44750886224665e-09,0.0
0,77,blocked,supplied context,8.27526935864853e-09,0.0
0,77,blocked,zero context,8.905542081549811e-09,0.0
0,77,blocked,error-gated replacement,8.27526935864853e-09,0.0
0,78,blocked,supplied context,9.572347359210198e-09,0.0
0,78,blocked,zero context,1.0147100049096025e-08,0.0
0,78,blocked,error-gated replacement,9.572347359210198e-09,0.0
0,79,blocked,supplied context,7.381756983448895e-09,0.0
0,79,blocked,zero context,6.7768279876645465e-09,0.0
0,79,blocked,error-gated replacement,7.381756983448895e-09,0.0
0,80,blocked,supplied context,0.17137929797172546,0.0
0,80,blocked,zero context,0.18808391690254211,0.0
0,80,blocked,error-gated replacement,0.17137929797172546,0.0
0,81,blocked,supplied context,0.2193775326013565,0.0
0,81,blocked,zero context,0.23548662662506104,0.0
0,81,blocked,error-gated replacement,0.2193775326013565,0.0
0,82,blocked,supplied context,0.27154868841171265,0.0
0,82,blocked,zero context,0.27088889479637146,0.0
0,82,blocked,error-gated replacement,0.27154868841171265,0.0
0,83,blocked,supplied context,0.36909687519073486,0.0
0,83,blocked,zero context,0.38624757528305054,0.0
0,83,blocked,error-gated replacement,0.36909687519073486,0.0
0,84,blocked,supplied context,0.42235344648361206,0.0
0,84,blocked,zero context,0.4284490644931793,0.0
0,84,blocked,error-gated replacement,0.42235344648361206,0.0
0,85,blocked,supplied context,3.2435269758934737e-07,0.0
0,85,blocked,zero context,2.6541178499428497e-07,0.0
0,85,blocked,error-gated replacement,3.2435269758934737e-07,0.0
0,86,blocked,supplied context,7.039481175752371e-08,0.0
0,86,blocked,zero context,6.779652750310561e-08,0.0
0,86,blocked,error-gated replacement,7.039481175752371e-08,0.0
0,87,blocked,supplied context,3.610398380260449e-07,0.0
0,87,blocked,zero context,4.1988141674664803e-07,0.0
0,87,blocked,error-gated replacement,3.610398380260449e-07,0.0
0,88,blocked,supplied context,5.995246397105802e-07,0.0
0,88,blocked,zero context,5.993803711135115e-07,0.0
0,88,blocked,error-gated replacement,5.995246397105802e-07,0.0
0,89,blocked,supplied context,7.396865342457204e-09,0.0
0,89,blocked,zero context,5.37045030668537e-09,0.0
0,89,blocked,error-gated replacement,7.396865342457204e-09,0.0
0,90,blocked,supplied context,0.3189227283000946,0.0
0,90,blocked,zero context,0.3765910267829895,0.0
0,90,blocked,error-gated replacement,0.3189227283000946,0.0
0,91,blocked,supplied context,0.32022735476493835,0.0
0,91,blocked,zero context,0.44406282901763916,0.0
0,91,blocked,error-gated replacement,0.32022735476493835,0.0
0,92,blocked,supplied context,0.3619759678840637,0.0
0,92,blocked,zero context,0.45232826471328735,0.0
0,92,blocked,error-gated replacement,0.3619759678840637,0.0
0,93,blocked,supplied context,0.391060471534729,0.0
0,93,blocked,zero context,0.4336106777191162,0.0
0,93,blocked,error-gated replacement,0.391060471534729,0.0
0,94,blocked,supplied context,0.42481285333633423,0.0
0,94,blocked,zero context,0.5299029350280762,1.0
0,94,blocked,error-gated replacement,0.42481285333633423,0.0
0,95,blocked,supplied context,0.9049095511436462,1.0
0,95,blocked,zero context,0.9026214480400085,1.0
0,95,blocked,error-gated replacement,0.9049095511436462,1.0
0,96,blocked,supplied context,0.8022114634513855,1.0
0,96,blocked,zero context,0.792719304561615,1.0
0,96,blocked,error-gated replacement,0.8015742301940918,1.0
0,97,blocked,supplied context,0.7693801522254944,1.0
0,97,blocked,zero context,0.7404244542121887,1.0
0,97,blocked,error-gated replacement,0.7693801522254944,1.0
0,98,blocked,supplied context,0.8000993132591248,1.0
0,98,blocked,zero context,0.76777184009552,1.0
0,98,blocked,error-gated replacement,0.8048309683799744,1.0
0,99,blocked,supplied context,0.5897931456565857,1.0
0,99,blocked,zero context,0.5778393149375916,1.0
0,99,blocked,error-gated replacement,0.5897931456565857,1.0
0,100,blocked,supplied context,5.736918865295593e-06,0.0
0,100,blocked,zero context,5.4968286349321716e-06,0.0
0,100,blocked,error-gated replacement,5.6520229918533005e-06,0.0
0,101,blocked,supplied context,2.488388020083221e-07,0.0
0,101,blocked,zero context,2.4862654868229583e-07,0.0
0,101,blocked,error-gated replacement,2.4916209895309294e-07,0.0
0,102,blocked,supplied context,8.420348649451626e-07,0.0
0,102,blocked,zero context,6.626231652262504e-07,0.0
0,102,blocked,error-gated replacement,6.628228561567084e-07,0.0
0,103,blocked,supplied context,1.172277166006097e-06,0.0
0,103,blocked,zero context,1.112729478336405e-06,0.0
0,103,blocked,error-gated replacement,1.1128690857731272e-06,0.0
0,104,blocked,supplied context,0.6096786856651306,1.0
0,104,blocked,zero context,0.6097782850265503,1.0
0,104,blocked,error-gated replacement,0.6098471283912659,1.0
0,105,blocked,supplied context,0.7248812913894653,1.0
0,105,blocked,zero context,0.7369120121002197,1.0
0,105,blocked,error-gated replacement,0.7248812913894653,1.0
0,106,blocked,supplied context,0.6663946509361267,1.0
0,106,blocked,zero context,0.6934564113616943,1.0
0,106,blocked,error-gated replacement,0.7098537683486938,1.0
0,107,blocked,supplied context,0.6690332889556885,1.0
0,107,blocked,zero context,0.6747252941131592,1.0
0,107,blocked,error-gated replacement,0.6690332889556885,1.0
0,108,blocked,supplied context,0.8109327554702759,1.0
0,108,blocked,zero context,0.7973436117172241,1.0
0,108,blocked,error-gated replacement,0.8201533555984497,1.0
0,109,blocked,supplied context,6.375529210345121e-06,0.0
0,109,blocked,zero context,5.151588084117975e-06,0.0
0,109,blocked,error-gated replacement,6.375529210345121e-06,0.0
0,110,blocked,supplied context,1.8159997807742911e-06,0.0
0,110,blocked,zero context,1.2142301102358033e-06,0.0
0,110,blocked,error-gated replacement,1.8159997807742911e-06,0.0
0,111,blocked,supplied context,1.0330804798286408e-05,0.0
0,111,blocked,zero context,8.345326023118105e-06,0.0
0,111,blocked,error-gated replacement,1.0330804798286408e-05,0.0
0,112,blocked,supplied context,2.2857411750010215e-06,0.0
0,112,blocked,zero context,2.1058149286545813e-06,0.0
0,112,blocked,error-gated replacement,2.2857411750010215e-06,0.0
0,113,blocked,supplied context,1.1106166084573488e-06,0.0
0,113,blocked,zero context,7.491566407225037e-07,0.0
0,113,blocked,error-gated replacement,1.1106166084573488e-06,0.0
0,114,blocked,supplied context,0.8892754316329956,1.0
0,114,blocked,zero context,0.8743565082550049,1.0
0,114,blocked,error-gated replacement,0.8892754316329956,1.0
0,115,blocked,supplied context,0.7586017847061157,1.0
0,115,blocked,zero context,0.7530798316001892,1.0
0,115,blocked,error-gated replacement,0.7551496028900146,1.0
0,116,blocked,supplied context,0.7220778465270996,1.0
0,116,blocked,zero context,0.721920371055603,1.0
0,116,blocked,error-gated replacement,0.7220778465270996,1.0
0,117,blocked,supplied context,0.7583122253417969,1.0
0,117,blocked,zero context,0.7308694124221802,1.0
0,117,blocked,error-gated replacement,0.7623693943023682,1.0
0,118,blocked,supplied context,0.5236055850982666,1.0
0,118,blocked,zero context,0.5139630436897278,1.0
0,118,blocked,error-gated replacement,0.5236055850982666,1.0
0,119,blocked,supplied context,5.9426365623949096e-06,0.0
0,119,blocked,zero context,5.703212991647888e-06,0.0
0,119,blocked,error-gated replacement,5.800987764814636e-06,0.0
0,120,blocked,supplied context,1.014873532767524e-06,0.0
0,120,blocked,zero context,9.552852588967653e-07,0.0
0,120,blocked,error-gated replacement,9.552663868817035e-07,0.0
0,121,blocked,supplied context,2.4445828330499353e-06,0.0
0,121,blocked,zero context,1.9080773654422956e-06,0.0
0,121,blocked,error-gated replacement,1.8484521433492773e-06,0.0
0,122,blocked,supplied context,1.0854792890313547e-05,0.0
0,122,blocked,zero context,1.0290673344570678e-05,0.0
0,122,blocked,error-gated replacement,1.070208236342296e-05,0.0
0,123,blocked,supplied context,0.5775747299194336,1.0
0,123,blocked,zero context,0.5747774243354797,1.0
0,123,blocked,error-gated replacement,0.5747838020324707,1.0
0,124,blocked,supplied context,0.7374508380889893,1.0
0,124,blocked,zero context,0.7414175868034363,1.0
0,124,blocked,error-gated replacement,0.7374508380889893,1.0
0,125,blocked,supplied context,0.6608076095581055,1.0
0,125,blocked,zero context,0.6807217597961426,1.0
0,125,blocked,error-gated replacement,0.682614803314209,1.0
0,126,blocked,supplied context,0.6529581546783447,1.0
0,126,blocked,zero context,0.654487133026123,1.0
0,126,blocked,error-gated replacement,0.6529581546783447,1.0
0,127,blocked,supplied context,0.6748416423797607,1.0
0,127,blocked,zero context,0.693098783493042,1.0
0,127,blocked,error-gated replacement,0.6930626630783081,1.0
0,128,blocked,supplied context,3.7116378734936006e-06,0.0
0,128,blocked,zero context,3.3040548714780016e-06,0.0
0,128,blocked,error-gated replacement,3.7116378734936006e-06,0.0
0,129,blocked,supplied context,5.436791525426088e-06,0.0
0,129,blocked,zero context,2.9815757898177253e-06,0.0
0,129,blocked,error-gated replacement,5.436791525426088e-06,0.0
0,130,blocked,supplied context,9.063764082384296e-06,0.0
0,130,blocked,zero context,5.42703537576017e-06,0.0
0,130,blocked,error-gated replacement,9.063764082384296e-06,0.0
0,131,blocked,supplied context,8.321278073708527e-06,0.0
0,131,blocked,zero context,6.9464376792893745e-06,0.0
0,131,blocked,error-gated replacement,8.321278073708527e-06,0.0
0,132,blocked,supplied context,6.1174291658971924e-06,0.0
0,132,blocked,zero context,4.098292265553027e-06,0.0
0,132,blocked,error-gated replacement,6.1174291658971924e-06,0.0
0,133,blocked,supplied context,0.7502638101577759,1.0
0,133,blocked,zero context,0.7519879341125488,1.0
0,133,blocked,error-gated replacement,0.7502638101577759,1.0
0,134,blocked,supplied context,0.6798762083053589,1.0
0,134,blocked,zero context,0.6768506765365601,1.0
0,134,blocked,error-gated replacement,0.6790109276771545,1.0
0,135,blocked,supplied context,0.6796741485595703,1.0
0,135,blocked,zero context,0.6770627498626709,1.0
0,135,blocked,error-gated replacement,0.6796741485595703,1.0
0,136,blocked,supplied context,0.6858947277069092,1.0
0,136,blocked,zero context,0.6776868104934692,1.0
0,136,blocked,error-gated replacement,0.6892993450164795,1.0
0,137,blocked,supplied context,0.42939913272857666,0.0
0,137,blocked,zero context,0.4300907850265503,0.0
0,137,blocked,error-gated replacement,0.42939913272857666,0.0
0,138,blocked,supplied context,2.475407256952167e-07,0.0
0,138,blocked,zero context,2.472236815265205e-07,0.0
0,138,blocked,error-gated replacement,2.475407256952167e-07,0.0
0,139,blocked,supplied context,1.0148989986191737e-06,0.0
0,139,blocked,zero context,9.553087920721737e-07,0.0
0,139,blocked,error-gated replacement,1.0148989986191737e-06,0.0
0,140,blocked,supplied context,3.5849677715305006e-07,0.0
0,140,blocked,zero context,2.9893709552197834e-07,0.0
0,140,blocked,error-gated replacement,3.5849677715305006e-07,0.0
0,141,blocked,supplied context,6.001632613106267e-08,0.0
0,141,blocked,zero context,3.8600589391535323e-10,0.0
0,141,blocked,error-gated replacement,6.001632613106267e-08,0.0
0,142,blocked,supplied context,0.5651656985282898,1.0
0,142,blocked,zero context,0.5637805461883545,1.0
0,142,blocked,error-gated replacement,0.5651656985282898,1.0
0,143,blocked,supplied context,0.7243848443031311,1.0
0,143,blocked,zero context,0.695635974407196,1.0
0,143,blocked,error-gated replacement,0.6960921287536621,1.0
0,144,blocked,supplied context,0.6742132902145386,1.0
0,144,blocked,zero context,0.6718971729278564,1.0
0,144,blocked,error-gated replacement,0.6742132902145386,1.0
0,145,blocked,supplied context,0.6593376398086548,1.0
0,145,blocked,zero context,0.6602138876914978,1.0
0,145,blocked,error-gated replacement,0.6620577573776245,1.0
0,146,blocked,supplied context,0.7061312198638916,1.0
0,146,blocked,zero context,0.687198281288147,1.0
0,146,blocked,error-gated replacement,0.7061312198638916,1.0
0,147,blocked,supplied context,3.074596577334887e-07,0.0
0,147,blocked,zero context,2.4410024934695684e-07,0.0
0,147,blocked,error-gated replacement,3.037569911157334e-07,0.0
0,148,blocked,supplied context,1.796074116100499e-07,0.0
0,148,blocked,zero context,1.197166596966781e-07,0.0
0,148,blocked,error-gated replacement,1.1967694035774912e-07,0.0
0,149,blocked,supplied context,6.560573524438951e-07,0.0
0,149,blocked,zero context,4.1745710177565343e-07,0.0
0,149,blocked,error-gated replacement,4.174499679265864e-07,0.0
0,150,blocked,supplied context,2.4575260226811224e-07,0.0
0,150,blocked,zero context,2.443895539272489e-07,0.0
0,150,blocked,error-gated replacement,3.035152360553184e-07,0.0
0,151,blocked,supplied context,6.001007477607345e-07,0.0
0,151,blocked,zero context,3.0045202947803773e-07,0.0
0,151,blocked,error-gated replacement,3.002093365012115e-07,0.0
0,152,blocked,supplied context,0.6730102300643921,1.0
0,152,blocked,zero context,0.6275238990783691,1.0
0,152,blocked,error-gated replacement,0.6304061412811279,1.0
0,153,blocked,supplied context,0.6529384851455688,1.0
0,153,blocked,zero context,0.6357026696205139,1.0
