model,epoch,size_error,bce_loss,threshold,weights_path
MLP,21,0.25368165969848633,0.0002515596861485392,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,22,0.25201675295829773,0.00023775927547831088,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,23,0.2513411045074463,0.00023717946896795183,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,24,0.25086700916290283,0.00023757427698001266,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,25,0.25027820467948914,0.00023588734620716423,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,26,0.2539171576499939,0.0002930841001216322,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,27,0.25613054633140564,0.0003370814665686339,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,28,0.2547966539859772,0.0003205057291779667,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,29,0.25015008449554443,0.00025202721008099616,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,30,0.24823538959026337,0.00023490037710871547,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,31,0.24765253067016602,0.0002320783241884783,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,32,0.24984018504619598,0.00026397337205708027,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,33,0.24799242615699768,0.00024373381165787578,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,34,0.24950025975704193,0.00026808056281879544,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,35,0.246673583984375,0.00023687450448051095,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,36,0.24614576995372772,0.00023674374097026885,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,37,0.24723230302333832,0.0002521187125239521,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,38,0.2480156272649765,0.0002660731552168727,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,39,0.243929922580719,0.00022850451932754368,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,40,0.24376635253429413,0.0002332741132704541,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,41,0.24331726133823395,0.0002348157431697473,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,42,0.2423558533191681,0.00023216311819851398,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,43,0.24110916256904602,0.0002292628341820091,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,44,0.23934845626354218,0.00022567965788766742,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,45,0.24323679506778717,0.00027149508241564035,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,46,0.23561085760593414,0.0002187850041082129,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,47,0.23503129184246063,0.0002266959781991318,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,48,0.23559853434562683,0.00023978293756954372,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,49,0.22897210717201233,0.00021196011221036315,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,50,0.22582611441612244,0.00020747467351611704,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,51,0.22578291594982147,0.00021563901100307703,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,52,0.22046343982219696,0.00020329155086074024,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,53,0.21821212768554688,0.00020203448366373777,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,54,0.21659162640571594,0.00020347547251731157,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
